4651
b0451	b0451	protein_coding
b0452	b0452	protein_coding
b0453	b0453	protein_coding
b0454	b0454	protein_coding
b0455	b0455	ncRNA
b0456	b0456	protein_coding
b0457	b0457	protein_coding
b0458	b0458	protein_coding
b0459	b0459	protein_coding
b0460	b0460	protein_coding
b0461	b0461	protein_coding
b0462	b0462	protein_coding
b0463	b0463	protein_coding
b0464	b0464	protein_coding
b0465	b0465	protein_coding
b0466	b0466	protein_coding
b0467	b0467	protein_coding
b0468	b0468	protein_coding
b0469	b0469	protein_coding
b0470	b0470	protein_coding
b0471	b0471	protein_coding
b0472	b0472	protein_coding
b0473	b0473	protein_coding
b0474	b0474	protein_coding
b0475	b0475	protein_coding
b0476	b0476	protein_coding
b0477	b0477	protein_coding
b0478	b0478	protein_coding
b0479	b0479	protein_coding
b0480	b0480	protein_coding
b0481	b0481	protein_coding
b4585	b4585	ncRNA
b0482	b0482	protein_coding
b0483	b0483	protein_coding
b0484	b0484	protein_coding
b0485	b0485	protein_coding
b0486	b0486	protein_coding
b0487	b0487	protein_coding
b0488	b0488	protein_coding
b0489	b0489	protein_coding
b0490	b0490	protein_coding
b0491	b0491	protein_coding
b0492	b0492	protein_coding
b0493	b0493	protein_coding
b0494	b0494	protein_coding
b0495	b0495	protein_coding
b0496	b0496	protein_coding
b0497	b0497	protein_coding
b0498	b0498	protein_coding
b0499	b0499	pseudogene
b0501	b0501	pseudogene
b4632	b4632	pseudogene
b0502	b0502	protein_coding
b0503	b0503	protein_coding
b0504	b0504	protein_coding
b0505	b0505	protein_coding
b0506	b0506	protein_coding
b4831	b4831	ncRNA
b0507	b0507	protein_coding
b0508	b0508	protein_coding
b0509	b0509	protein_coding
b0511	b0511	protein_coding
b0512	b0512	protein_coding
b0513	b0513	protein_coding
b0514	b0514	protein_coding
b0515	b0515	protein_coding
b0516	b0516	protein_coding
b0517	b0517	protein_coding
b0518	b0518	protein_coding
b4572	b4572	protein_coding
b0520	b0520	protein_coding
b0521	b0521	protein_coding
b0522	b0522	protein_coding
b0523	b0523	protein_coding
b0524	b0524	protein_coding
b0525	b0525	protein_coding
b0526	b0526	protein_coding
b0527	b0527	protein_coding
b0528	b0528	protein_coding
b0529	b0529	protein_coding
b0530	b0530	protein_coding
b0531	b0531	protein_coding
b0532	b0532	protein_coding
b0533	b0533	protein_coding
b0534	b0534	protein_coding
b0535	b0535	protein_coding
b0536	b0536	tRNA
b0537	b0537	protein_coding
b4633	b4633	pseudogene
b0539	b0539	pseudogene
b4508	b4508	pseudogene
b0542	b0542	pseudogene
b0540	b0540	protein_coding
b0541	b0541	protein_coding
b0543	b0543	protein_coding
b4733	b4733	protein_coding
b0544	b0544	protein_coding
b0545	b0545	protein_coding
b0546	b0546	protein_coding
b4588	b4588	protein_coding
b0547	b0547	protein_coding
b0548	b0548	protein_coding
b0549	b0549	protein_coding
b0550	b0550	protein_coding
b4509	b4509	protein_coding
b0551	b0551	protein_coding
b0553	b0553	pseudogene
b0552	b0552	protein_coding
b0554	b0554	protein_coding
b0555	b0555	protein_coding
b0556	b0556	protein_coding
b4510	b4510	protein_coding
b0557	b0557	protein_coding
b0558	b0558	protein_coding
b0559	b0559	protein_coding
b4589	b4589	protein_coding
b0560	b0560	protein_coding
b4634	b4634	pseudogene
